Course,Course Title,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Coalesced Course Title
COMP_SCI 496,Advanced System Security,,,9-9:50 F,,COMP_SCI 496: Advanced System Security
COMP_SCI 496,Logic In AI,,,,,COMP_SCI 496: Logic In AI
COMP_SCI 496,Computational Optics,9:30-10:50 TuTh,,,,COMP_SCI 496: Computational Optics
COMP_SCI 496,Modern Discrete Probability,,,,,COMP_SCI 496: Modern Discrete Probability
COMP_SCI 496,Mathematical and Computational Foundations of Tensors and Applications,,,1-1:50 MWF,,COMP_SCI 496: Mathematical and Computational Foundations of Tensors and Applications
COMP_SCI 496,Randomized Algorithms in Linear Algebra and Scientific Computing,,,,,COMP_SCI 496: Randomized Algorithms in Linear Algebra and Scientific Computing
COMP_SCI 496,Learning in Networks,11-12:20 MW,,,,COMP_SCI 496: Learning in Networks
COMP_SCI 496,Graduate Social Network Analysis,2-5 F,,,,COMP_SCI 496: Graduate Social Network Analysis
COMP_SCI 496,Mathematical Foundations of Machine Learning,,,5-8 M,,COMP_SCI 496: Mathematical Foundations of Machine Learning
COMP_SCI 496,Academic Job Search,3-5 M,,,,COMP_SCI 496: Academic Job Search
COMP_SCI 496,Transformative AI and the Learning Sciences,1-3:50 Tu,,,,COMP_SCI 496: Transformative AI and the Learning Sciences
COMP_SCI 496,Advanced Topics in Modern Cryptography,,9:30-10:50 TuTh,,,COMP_SCI 496: Advanced Topics in Modern Cryptography
COMP_SCI 497,Advanced Database Systems,3:30-4:50 MW,,,,COMP_SCI 497: Advanced Database Systems
COMP_SCI 497,Learning Augmented Online Algorithms,,,,,COMP_SCI 497: Learning Augmented Online Algorithms
COMP_SCI 497,Explanation and reproducibility in data-driven science,,2-4:50 Th,,,COMP_SCI 497: Explanation and reproducibility in data-driven science
COMP_SCI 497,Recent Highlights in Theoretical Computer Science,,,,,COMP_SCI 497: Recent Highlights in Theoretical Computer Science
COMP_SCI 497,Digital Musical Instrument Design,,,,,COMP_SCI 497: Digital Musical Instrument Design
COMP_SCI 497,The Design of Tools and Technologies for Computer Science Education,,,,,COMP_SCI 497: The Design of Tools and Technologies for Computer Science Education
COMP_SCI 497,Deep Learning for Natural Language Processing,,,11-12:20 TuTh,,COMP_SCI 497: Deep Learning for Natural Language Processing
COMP_SCI 497,Data Economics,,,,,COMP_SCI 497: Data Economics
